ID,DESCRIPCION,RESP_OK,R1,R2,R3
10001,¿Cuál de los Kits Smart Start es el más completo?,Kit Imperial SNE,Kit Ejecutivo VIVRI,Kit Imperial SNE,Kit Imperial SENS DUO
10002,Si un LIV es desactivado permanentemente ¿qué pasa?,No podrá recuperar su número ni posicion LIV,Podra reactivarse dando aviso a su upline,Podrá recuperar su número pero no su equipo,No podrá recuperar su número ni posicion LIV
10003,¿Hasta cuánto es la regalía en la generación 1 de Corazón Diamante?,2%,4%,1%,2%
10004,¿Cuántas porciones de SHAKE ME! incule el Kit Imperial SNE?,20,15,20,30
10005,"Para poder generar el pago de bonificaciones, el LIV debe:",Tener completo su perfil fiscal,Solicitar su bonificacion,Tener activo 1 año,Tener completo su perfil fiscal
10006,¿Para avanzar de Rango Activo Real (RAR) cuantos niveles de puntos se toman?,15,15,9,10
10007,¿Cuánto se destina hasta del Valor de Negocio (VN) mundial de VIVRI para recompensas de estilo de vida?,5%,2%,5%,4%
10008,¿Cuál el el valor de negocio (VN) del Kit imperial SENS?,300,300,200,500
10009,"El Bono Auto Club Fundador, ¿qué te puede regalar?","hasta $17,000 MXN mensuales","hasta $10,000 MXN mensuales","hasta $12,000 MXN mensuales","hasta $17,000 MXN mensuales"
10010,A todos los LIVs que un LIV inscriba directamente (en su Nivel 1) con uno de los Kit Smart Start se les llama:,Frontales,Upline,LIV basico,Frontales
10011,"El Bono Auto Club Director, ¿qué te puede regalar?","Hasta $8,500 MXN mensuales para un auto de lujo",Un lujoso Viaje Todo Pagado (VTP),"Hasta $8,500 MXN mensuales para un auto de lujo","$25,000.00 MXN para gastos de viaje"
10012,Si mantienes tu Volumen Personal (VP) con Autoship (AS) de al menos 226 puntos de Valor de Negocio (VN) mensual durante 1 año puedes ganar:,Un certificado para 4 días y 3 noches en hotel de 5 estrellas,Un auto del año,Vacaciones con gastos incluidos por una semana completa (7 noches).,Un certificado para 4 días y 3 noches en hotel de 5 estrellas
10013,¿Las Bonificaciones de Equipo de cada Periodo se ganan cumpliendo con qué?,Volumen Personal,Volumen Personal,LIV Frontales,Kit Smart inicial
10014,¿El Valor de Negocio (VN) que incluye?,Puntos asignados a cada producto SENS y VIVRI,Puntos asignados a cada producto SENS y VIVRI,Volumen Personal (VP),Volumen de equipo (VE)
10015,¿Hasta cuánto es la regalía en la generación 2 de Corazón Diamante?,4%,4%,2%,5%
10016,"¿Cómo se les conoce a los Punto de venta estratégico operado de forma
independiente por uno o más LIVs?",Centro de Entrega Independiente VIVRI (CENI),Centro de Entrega Independiente VIVRI (CENI),Centro de Venta Independiente VIVRI (CVI),Punto de entrega Independiente VIVRI (PEI)
10017,¿Por cuántos periodos te activa Autoship Activo con al menos 76 puntos?,2 periodos,1 periodo,2 periodos,3 periodos
10018,Todos los Kits Smart Start disponibles incluyen:,Tu propio Sitio Personalizado VIVRI / SENS en internet,Bonos Smart Start,Bonos de estilo de vida,Tu propio Sitio Personalizado VIVRI / SENS en internet
10019,"Los LIVs Corazón Diamante (CD) activos
pueden disfrutar impresionantes viajes en:",Top Journey,BestDay,Special travel,Top Journey
10020,"En el en orden de prelación, al pago de 1.Bonos Smart Start, 2. Bonificaciones de Equipo, ¿cuál sigue?","
3. Fondo Mundial de Estilo de Vida",3. Fondo Mundial de Equipos de Poder,"
3. Fondo Mundial de Estilo de Vida",3. Regalías Generacionales
10021,¿De qué otro modo se les conoce a las Ganancias Inmediatas LIVs?,Bonos Smart Start,Bonos Smart Start,Bonos de estilo de vida,Oportunidad VIVRI
10022,Todo LIV que tenga 12 meses consecutivos sin Volumen Personal será:,Desactivado permanentemente,Desactivado permanentemente,Sancionado,En pausa hasta que se reactive
10023,"Si tienes una Categoría Smart Start Imperial, cada vez que inscribes de manera directa a un nuevo LIV ¿qué porcentaje recibes del valor del negocio (VN)?",50%,25%,50%,20%
10024,"¿Hasta cuánto se destina del Valor de Negocio (VN) mundial de cada Periodo a viajes, regalos y bonos
en dinero?",5%,2%,5%,4%
10025,¿Cuál el el valor de negocio (VN) del Kit ejecutivo SENS?,120,200,120,100
10026,¿Cómo ser reparte el Fondo Mundial Corazón Diamante (FMCD)?,De forma proporcional,De forma proporcional,Por antigüedad,Por volumen de ventas
10027,¿Cuál es el siguiente nivel más alto después de empresario?,Asesor,Embajador,Asesor,Coach
10028,"Al lograr por primera vez mantener el Rango Activo Real (RAR) de Embajador y/o superior durante 2
Periodos consecutivos ¿Qué puedes obtener?",Certificado para viaje en pareja a un hotel de 5 estrellas,Un VIVRI Cruise,Un VIVRI Explore,Certificado para viaje en pareja a un hotel de 5 estrellas
10029,¿Cuál es el siguiente nivel más alto después de embajador?,Club director,Coach,Club presidente,Club director
10030,¿Por cuántos periodos te activa Volverte LIV?,2 periodos,2 periodos,3 periodos,4 periodos
10031,¿A partir de qué nivel ganas premios?,Embajador,Embajador,Asesor,Club director
10032,"¿Cuándo recibes tu primera participación en el
Fondo Mundial de Equipos de Poder del Periodo?",Cada que tengas 3 Equipos de Poder,Cuando llegues al nivel 9,Cada que tengas 3 Equipos de Poder,Cuando tengas Rango de Corazón Diamante (CD)
10033,Los Bonos Smart Start de Equipo ¿en qué categoría son exclusivas?,Smart Start Imperial,Start Ejecutiva,Smart Start Imperial,Start LIV
10034,"Si tienes una Categoría Smart Start Ejecutiva, cada vez que inscribes de manera directa a un nuevo LIV ¿qué porcentaje recibes del valor del negocio (VN)?",25%,25%,20%,50%
10035,"Las Bonos Smart Start de Equipo, de quién son exclusivas",Categoría Smart Start Imperial,Categoría Diamante,Categoría Smart Start Imperial,Categoría Corazón Diamante
10036,¿Cuánto es el monto mínimo para emitir bonificaciones?,$200.00 MXN,$100.00 MXN,$200.00 MXN,$1000.00 MXN
10037,¿Los Viajes VIVRI están diseñados para premiar a quiénes?,Top 500 LIVs,Top 100 LIVs,Top 500 LIVs,TOP 1000 LIVs
10038,¿Por cuántos periodos te activa tener Volumen Personal de 60 o más puntos?,1 periodo,1 periodo,2 periodos,3 periodos
10039,"SI un LIV tiene 3 o más Equipos de Poder directos en el Periodo, ¿hasta cuánto asigna VIVRI del valor de negocio mundial?",2%,1%,3%,2%
10040,"Cada vez que un LIV esté inactivo en cualquiera de tus primeros 9
niveles, ¿qué sistema entra en acción?","Sistema de Compresión Dinámica
(SCD)",Sistema de equipos de poder (SEP),"Sistema de Compresión Dinámica
(SCD)",Sistema de inactividad (SI)
